ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
443,"ECC-lipids, SPC water model, ECC-ions",POPS (1),298.0,50.0,0.9223,0.4953,0.6622,0.1614
597,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",POPS (1),298.0,35.0,0.7233,0.4026,0.497,0.2137
425,"GROMOS-CKP, GROMOS NH3 charges and PME",POPS (1),298.0,35.0,0.7628,0.3796,0.493,0.1525
473,"GROMOS-CKP, GROMOS NH3 charges and PME",POPS (1),298.0,35.0,0.8487,0.3746,0.4994,0.1252
535,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",POPS (1),298.0,35.0,0.7687,0.3028,0.3525,0.2036
529,Slipids,POPS (1),298.0,35.0,0.9591,0.1794,0.2129,0.1125
521,Lipid17 and ff99 ions,POPS (1),298.0,50.0,0.7368,0.1692,0.1856,0.1364
338,Slipids,POPS (1),298.0,35.0,0.9223,0.1626,0.1718,0.1444
263,CHARMM36-UA,POPS (1),298.0,35.0,0.7549,0.1621,0.1122,0.2621
5,CHARMM36,POPS (1),298.0,35.0,0.2602,0.1332,0.069,0.2618
367,CHARMM36-UA,POPS (1),298.0,35.0,0.5294,0.1272,0.0784,0.2248
292,MacRog,POPS (1),298.0,35.0,0.2221,0.1134,0.075,0.1902
26,MacRog,POPS (1),298.0,35.0,0.3078,0.1021,0.0702,0.1659
842,PROSECCO,POPS (1),298.0,40.0,0.2835,0.097,0.021,0.2491
106,CHARMM36,POPS (1),298.0,35.0,0.0911,0.0849,0.0389,0.177
502,Berger,POPS (1),298.0,35.0,0.0695,0.0593,0.0246,0.1288
480,Berger,POPS (1),298.0,35.0,0.0827,0.0527,0.0251,0.1078
483,Lipid17 and Dang ions,POPS (1),298.0,50.0,0.119,0.042,0.0231,0.0799
